timestamp,x_position,y_position,action
0.03,100,300,idle
0.07,100,300,idle
0.1,100,300,idle
0.14,100,300,idle
0.17,100,300,idle
0.2,100,300,idle
0.24,100,300,idle
0.27,100,300,idle
0.31,100,300,idle
0.34,100,300,idle
0.37,100,300,idle
0.41,100,300,idle
0.44,100,300,idle
0.47,100,300,idle
0.51,100,300,idle
0.54,100,300,idle
0.57,100,300,idle
0.61,100,300,idle
0.64,100,300,idle
0.67,100,300,idle
0.71,100,300,idle
0.74,100,300,idle
0.77,100,300,idle
0.81,100,300,idle
0.84,100,300,idle
0.88,100,300,idle
0.91,100,300,idle
0.94,100,300,idle
0.98,100,300,idle
1.01,100,300,idle
1.04,100,300,idle
1.08,100,300,idle
1.11,100,300,idle
1.15,100,300,idle
1.18,100,300,idle
1.21,100,300,idle
1.24,100,300,idle
1.28,100,300,idle
1.31,100,300,idle
1.34,100,300,idle
1.38,100,300,idle
1.41,100,300,idle
1.45,100,300,idle
1.48,100,300,idle
1.51,100,300,idle
1.55,100,300,idle
1.58,100,300,idle
1.62,100,300,idle
1.65,100,300,idle
1.68,100,300,idle
1.72,100,300,idle
1.75,100,300,idle
1.78,100,300,idle
1.82,100,300,idle
1.85,100,300,idle
1.88,100,300,idle
1.92,100,300,idle
1.95,100,300,idle
1.99,100,300,idle
2.02,100,300,idle
2.06,100,300,idle
2.09,100,300,idle
2.12,100,300,idle
2.16,100,300,idle
2.19,100,300,idle
2.22,100,300,idle
2.26,100,300,idle
2.29,100,300,idle
2.32,100,300,idle
2.36,100,300,idle
2.39,100,300,idle
2.43,100,300,idle
2.46,100,300,idle
2.49,100,300,idle
2.53,100,300,idle
2.56,100,300,idle
2.59,100,300,idle
2.63,100,300,idle
2.66,100,300,idle
2.7,100,300,idle
2.73,100,300,idle
2.77,100,300,idle
2.8,100,300,idle
2.83,100,300,idle
2.86,100,300,idle
2.9,100,300,idle
2.93,100,300,idle
2.97,100,300,idle
3.0,100,300,idle
3.04,100,300,idle
3.07,100,300,idle
3.1,100,300,idle
3.14,100,300,idle
3.17,100,300,idle
3.2,100,300,idle
3.24,100,300,idle
3.27,100,300,idle
3.3,100,300,idle
3.34,100,300,idle
3.37,100,300,idle
3.4,100,300,idle
3.44,100,300,idle
3.47,100,300,idle
3.5,100,300,idle
3.54,100,300,idle
3.57,100,300,idle
3.61,100,300,idle
3.64,100,300,idle
3.67,100,300,idle
3.71,100,300,idle
3.74,100,300,idle
3.77,100,300,idle
3.81,100,300,idle
3.84,100,300,idle
3.87,100,300,idle
3.91,100,300,idle
3.94,100,300,idle
3.98,100,300,idle
4.01,100,300,idle
4.04,100,300,idle
4.07,100,300,idle
4.11,100,300,idle
4.14,100,300,idle
4.17,100,300,idle
4.21,100,300,idle
4.24,100,300,idle
4.27,100,300,idle
4.31,100,300,idle
4.34,100,300,idle
4.37,100,300,idle
4.41,100,300,idle
4.44,100,300,idle
4.48,100,300,idle
4.51,100,300,idle
4.54,100,300,idle
4.58,100,300,idle
4.61,100,300,idle
4.64,100,300,idle
4.68,100,300,idle
4.71,100,300,idle
4.75,100,300,idle
4.78,100,300,idle
4.81,100,300,idle
4.85,100,300,idle
4.88,100,300,idle
4.92,100,300,idle
4.95,100,300,idle
4.98,100,300,idle
5.01,100,300,idle
5.05,100,300,idle
5.08,100,300,idle
5.12,100,300,idle
5.15,100,300,idle
5.18,100,300,idle
5.22,100,300,idle
5.25,100,300,idle
5.28,100,300,idle
5.32,100,300,idle
5.35,100,300,idle
5.38,100,300,idle
5.42,100,300,idle
5.45,100,300,idle
5.49,100,300,idle
5.52,100,300,idle
5.55,100,300,idle
5.59,100,300,idle
5.62,100,300,idle
5.65,100,300,idle
5.69,100,300,idle
5.72,100,300,idle
5.75,100,300,idle
5.79,100,300,idle
5.82,100,300,idle
5.85,100,300,idle
5.89,100,300,idle
5.92,100,300,idle
5.96,100,300,idle
5.99,100,300,idle
6.02,100,300,idle
6.06,100,300,idle
6.09,100,300,idle
6.12,100,300,idle
6.16,100,300,idle
6.19,100,300,idle
6.23,100,300,idle
6.26,100,300,idle
6.29,100,300,idle
6.33,100,300,idle
6.36,100,300,idle
6.39,100,300,idle
6.43,100,300,idle
6.46,100,300,idle
6.49,100,300,idle
6.53,100,300,idle
6.56,100,300,idle
6.6,100,300,idle
6.63,100,300,idle
6.66,100,300,idle
6.7,100,300,idle
6.73,100,300,idle
6.76,100,300,idle
6.8,100,300,idle
6.83,100,300,idle
6.86,100,300,idle
6.9,100,300,idle
6.93,100,300,idle
6.96,100,300,idle
7.0,100,300,idle
7.03,100,300,idle
7.06,100,300,idle
7.1,100,300,idle
7.13,100,300,idle
7.16,100,300,idle
7.2,100,300,idle
7.23,100,300,idle
7.27,100,300,idle
7.3,100,300,idle
7.33,100,300,idle
7.37,100,300,idle
7.4,100,300,idle
7.43,100,300,idle
7.47,100,300,idle
7.5,100,300,idle
7.53,100,300,idle
7.57,100,300,idle
7.6,100,300,idle
7.63,100,300,idle
7.67,100,300,idle
7.7,100,300,idle
7.73,100,300,idle
7.77,100,300,idle
7.8,100,300,idle
7.83,100,300,idle
7.87,100,300,idle
7.9,100,300,idle
7.93,100,300,idle
7.97,100,300,idle
8.0,100,300,idle
8.03,100,300,idle
8.07,100,300,idle
8.1,100,300,idle
8.13,100,300,idle
8.17,100,300,idle
8.2,100,300,idle
8.24,100,300,idle
8.27,100,300,idle
8.3,100,300,idle
8.33,100,300,idle
8.37,100,300,idle
8.4,100,300,idle
8.44,100,300,idle
8.47,100,300,idle
8.5,100,300,idle
8.54,100,300,idle
8.57,100,300,idle
8.61,100,300,idle
8.64,100,300,idle
8.67,100,300,idle
8.7,100,300,idle
8.74,100,300,idle
8.77,100,300,idle
8.81,100,300,idle
8.84,100,300,idle
8.87,100,300,idle
8.91,100,300,idle
8.94,100,300,idle
8.98,100,300,idle
9.01,100,300,idle
9.04,100,300,idle
9.08,100,300,idle
9.11,100,300,idle
9.14,100,300,idle
9.18,100,300,idle
9.21,100,300,idle
9.25,100,300,idle
9.28,100,300,idle
9.31,100,300,idle
9.35,100,300,idle
9.38,100,300,idle
9.42,100,300,idle
9.45,100,300,idle
9.48,100,300,idle
9.52,100,300,idle
9.55,100,300,idle
9.58,100,300,idle
9.62,100,300,idle
9.65,100,300,idle
9.68,100,300,idle
9.71,100,300,idle
9.75,100,300,idle
9.78,100,300,idle
9.81,100,300,idle
9.85,100,300,idle
9.88,100,300,idle
9.92,100,300,idle
9.95,100,300,idle
9.98,100,300,idle
10.02,100,300,idle
10.05,100,300,idle
10.08,100,300,idle
10.12,100,300,idle
10.15,100,300,idle
10.18,100,300,idle
10.22,100,300,idle
10.25,100,300,idle
10.29,100,300,idle
10.32,100,300,idle
10.35,100,300,idle
10.39,100,300,idle
10.42,100,300,idle
10.45,100,300,idle
10.49,100,300,idle
10.52,100,300,idle
10.55,100,300,idle
10.59,100,300,idle
10.62,100,300,idle
10.65,100,300,idle
10.69,100,300,idle
10.72,100,300,idle
10.75,100,300,idle
10.79,100,300,idle
10.82,100,300,idle
10.85,100,300,idle
10.89,100,300,idle
10.92,100,300,idle
10.96,100,300,idle
10.99,100,300,idle
11.02,100,300,idle
11.06,100,300,idle
11.09,100,300,idle
11.12,100,300,idle
11.16,100,300,idle
11.19,100,300,idle
11.22,100,300,idle
11.26,100,300,idle
11.29,100,300,idle
11.33,100,300,idle
11.36,100,300,idle
11.39,100,300,idle
11.43,100,300,idle
11.46,100,300,idle
11.49,100,300,idle
11.53,100,300,idle
11.56,100,300,idle
11.6,100,300,idle
11.63,100,300,idle
11.66,100,300,idle
11.7,100,300,idle
11.73,100,300,idle
11.76,100,300,idle
11.8,100,300,idle
11.83,100,300,idle
11.86,100,300,idle
11.9,100,300,idle
11.93,100,300,idle
11.96,100,300,idle
12.0,100,300,idle
12.03,100,300,idle
12.06,100,300,idle
12.1,100,300,idle
12.13,100,300,idle
12.16,100,300,idle
12.2,100,300,idle
12.23,100,300,idle
12.26,100,300,idle
12.3,100,300,idle
12.33,100,300,idle
12.37,100,300,idle
12.4,100,300,idle
12.43,100,300,idle
12.47,100,300,idle
12.5,100,300,idle
12.53,100,300,idle
12.57,100,300,idle
12.6,100,300,idle
12.64,100,300,idle
12.67,100,300,idle
12.7,100,300,idle
12.74,100,300,idle
12.77,100,300,idle
12.8,100,300,idle
12.84,100,300,idle
12.87,100,300,idle
12.9,100,300,idle
12.94,100,300,idle
12.97,100,300,idle
13.0,100,300,idle
13.04,100,300,idle
13.07,100,300,idle
13.1,100,300,idle
13.14,100,300,idle
13.17,100,300,idle
13.21,100,300,idle
13.24,100,300,idle
13.28,100,300,idle
13.31,100,300,idle
13.34,100,300,idle
13.37,100,300,idle
13.41,100,300,idle
13.44,100,300,idle
13.48,100,300,idle
13.51,100,300,idle
13.54,100,300,idle
13.58,100,300,idle
13.61,100,300,idle
13.64,100,300,idle
13.68,100,300,idle
13.71,100,300,idle
13.74,100,300,idle
13.78,100,300,idle
13.81,100,300,idle
13.85,100,300,idle
13.88,100,300,idle
13.91,100,300,idle
13.95,100,300,idle
13.98,100,300,idle
14.02,100,300,idle
14.05,100,300,idle
14.08,100,300,idle
14.12,100,300,idle
14.15,100,300,idle
14.18,100,300,idle
14.22,100,300,idle
14.25,100,300,idle
14.28,100,300,idle
14.32,100,300,idle
14.35,100,300,idle
14.39,100,300,idle
14.42,100,300,idle
14.45,100,300,idle
14.49,100,300,idle
14.52,100,300,idle
14.56,100,300,idle
14.59,100,300,idle
14.62,100,300,idle
14.66,100,300,idle
14.69,100,300,idle
14.72,100,300,idle
14.76,100,300,idle
14.79,100,300,idle
14.82,100,300,idle
14.86,100,300,idle
14.89,100,300,idle
14.92,100,300,idle
14.96,100,300,idle
14.99,100,300,idle
15.02,100,300,idle
15.06,100,300,idle
15.09,100,300,idle
15.12,100,300,idle
15.16,100,300,idle
15.19,100,300,idle
15.22,100,300,idle
15.26,100,300,idle
15.29,100,300,idle
15.33,100,300,idle
15.36,100,300,idle
15.4,100,300,idle
15.43,100,300,idle
15.46,100,300,idle
15.5,100,300,idle
15.53,100,300,idle
15.57,100,300,idle
15.6,100,300,idle
15.63,100,300,idle
15.67,100,300,idle
15.7,100,300,idle
15.73,100,300,idle
15.77,100,300,idle
15.8,100,300,idle
15.83,100,300,idle
15.87,100,300,idle
15.9,100,300,idle
15.93,100,300,idle
15.97,100,300,idle
16.0,100,300,idle
16.03,100,300,idle
16.07,100,300,idle
16.1,100,300,idle
16.13,100,300,idle
16.17,100,300,idle
16.2,100,300,idle
16.24,100,300,idle
16.27,100,300,idle
16.3,100,300,idle
16.34,100,300,idle
16.37,100,300,idle
16.4,100,300,idle
16.44,100,300,idle
16.47,100,300,idle
16.51,100,300,idle
16.54,100,300,idle
16.57,100,300,idle
16.61,100,300,idle
16.64,100,300,idle
16.68,100,300,idle
16.71,100,300,idle
16.74,100,300,idle
16.78,100,300,idle
16.81,100,300,idle
16.84,100,300,idle
16.88,100,300,idle
16.91,100,300,idle
16.94,100,300,idle
16.98,100,300,idle
17.01,100,300,idle
17.05,100,300,idle
17.08,100,300,idle
17.11,100,300,idle
17.15,100,300,idle
17.18,100,300,idle
17.21,100,300,idle
17.25,100,300,idle
17.28,100,300,idle
17.32,100,300,idle
17.35,100,300,idle
17.38,100,300,idle
17.42,100,300,idle
17.45,100,300,idle
17.49,100,300,idle
17.52,100,300,idle
17.56,100,300,idle
17.59,100,300,idle
17.62,100,300,idle
17.65,100,300,idle
17.69,100,300,idle
17.72,100,300,idle
17.76,100,300,idle
17.79,100,300,idle
17.82,100,300,idle
17.86,100,300,idle
17.89,100,300,idle
17.93,100,300,idle
17.96,100,300,idle
17.99,100,300,idle
18.02,100,300,idle
18.06,100,300,idle
18.09,100,300,idle
18.13,100,300,idle
18.16,100,300,idle
18.19,100,300,idle
18.23,100,300,idle
18.26,100,300,idle
18.3,100,300,idle
18.33,100,300,idle
18.36,100,300,idle
18.4,100,300,idle
18.43,100,300,idle
18.46,100,300,idle
18.5,100,300,idle
18.53,100,300,idle
18.56,100,300,idle
18.6,100,300,idle
18.63,100,300,idle
18.66,100,300,idle
18.7,100,300,idle
18.73,100,300,idle
18.76,100,300,idle
18.8,100,300,idle
18.83,100,300,idle
18.86,100,300,idle
18.9,100,300,idle
18.93,100,300,idle
18.97,100,300,idle
19.0,100,300,idle
19.04,100,300,idle
19.07,100,300,idle
19.1,100,300,idle
19.14,100,300,idle
19.17,100,300,idle
19.2,100,300,idle
19.24,100,300,idle
19.27,100,300,idle
19.3,100,300,idle
19.34,100,300,idle
19.37,100,300,idle
19.4,100,300,idle
19.44,100,300,idle
19.47,100,300,idle
19.5,100,300,idle
19.54,100,300,idle
19.57,100,300,idle
19.6,100,300,idle
19.64,100,300,idle
19.67,100,300,idle
19.71,100,300,idle
19.74,100,300,idle
19.77,100,300,idle
19.81,100,300,idle
19.84,100,300,idle
19.87,100,300,idle
19.91,100,300,idle
19.94,100,300,idle
19.97,100,300,idle
20.01,100,300,idle
20.04,100,300,idle
20.08,100,300,idle
20.11,100,300,idle
20.14,100,300,idle
20.18,100,300,idle
20.21,100,300,idle
20.24,100,300,idle
20.28,100,300,idle
20.31,100,300,idle
20.34,100,300,idle
20.38,100,300,idle
20.41,100,300,idle
20.45,100,300,idle
20.48,100,300,idle
20.51,100,300,idle
20.55,100,300,idle
20.58,100,300,idle
20.61,100,300,idle
20.65,100,300,idle
20.68,100,300,idle
20.71,100,300,idle
20.75,100,300,idle
20.78,100,300,idle
20.81,100,300,idle
20.85,100,300,idle
20.88,100,300,idle
20.91,100,300,idle
20.95,100,300,idle
20.98,100,300,idle
21.01,100,300,idle
21.05,100,300,idle
21.08,100,300,idle
21.12,100,300,idle
21.15,100,300,idle
21.18,100,300,idle
21.22,100,300,idle
21.25,100,300,idle
21.29,100,300,idle
21.32,100,300,idle
21.35,100,300,idle
21.39,100,300,idle
21.42,100,300,idle
21.46,100,300,idle
21.49,100,300,idle
21.52,100,300,idle
21.56,100,300,idle
21.59,100,300,idle
21.62,100,300,idle
21.66,100,300,idle
21.69,100,300,idle
21.72,100,300,idle
21.76,100,300,idle
21.79,100,300,idle
21.82,100,300,idle
21.86,100,300,idle
21.89,100,300,idle
21.92,100,300,idle
21.96,100,300,idle
21.99,100,300,idle
22.02,100,300,idle
22.06,100,300,idle
22.09,100,300,idle
22.12,100,300,idle
22.16,100,300,idle
22.19,100,300,idle
22.22,100,300,idle
22.26,100,300,idle
22.29,100,300,idle
22.33,100,300,idle
